图像,COLMAP图像,后端,接受,原因,注册点数,掩膜内点数,正修正点支撑像素,负修正删除像素,几何修正像素,几何修正像素比例,修正前后IoU,正提示框xyxy,负提示框xyxy
0072.jpg,0072.jpg,colmap_tracks,1,ok,611,191,110827,0,1364,0.0001644483024691358,0.9987991266375545,"0,0,2119,3756",
0073.jpg,0073.jpg,colmap_tracks,1,ok,550,212,89278,0,873,0.00010525173611111111,0.9992896987606749,"0,0,2124,3682",
0074.jpg,0074.jpg,colmap_tracks,1,ok,849,387,120783,0,2788,0.0003361304012345679,0.9984932849037199,"0,0,2159,3729",
0075.jpg,0075.jpg,colmap_tracks,1,ok,614,317,77134,0,1359,0.0001638454861111111,0.9993618022441644,"0,0,2143,3736",
0076.jpg,0076.jpg,colmap_tracks,1,ok,1592,1317,72649,0,4267,0.0005144434799382716,0.9987843367185012,"0,0,2160,3840",
0077.jpg,0077.jpg,colmap_tracks,1,ok,3901,3567,88837,0,11567,0.001394555362654321,0.996732196942837,"0,0,2160,3840",
0078.jpg,0078.jpg,colmap_tracks,1,ok,2862,2593,71807,0,5690,0.0006860050154320988,0.9983911351262704,"0,0,2150,3840",
0079.jpg,0079.jpg,colmap_tracks,1,ok,9658,8914,183224,0,14739,0.0017769820601851853,0.9959653124727114,"0,0,2157,3840",
0080.jpg,0080.jpg,colmap_tracks,1,ok,9328,8459,211569,0,23532,0.0028370949074074075,0.993330001924583,"0,0,2146,3840",
0081.jpg,0081.jpg,colmap_tracks,1,ok,8255,7360,216042,0,18798,0.0022663483796296294,0.9944849640604372,"0,0,2160,3840",
0082.jpg,0082.jpg,colmap_tracks,1,ok,8181,7524,162286,0,23872,0.002878086419753086,0.9927699976709652,"0,0,2160,3840",
0083.jpg,0083.jpg,colmap_tracks,1,ok,7896,7103,199147,0,20601,0.0024837239583333334,0.9935399163616568,"0,0,2160,3840",
0084.jpg,0084.jpg,colmap_tracks,1,ok,5501,4894,155603,0,12565,0.0015148775077160493,0.9959125942518681,"0,0,2160,3840",
0085.jpg,0085.jpg,colmap_tracks,1,ok,8600,7791,199531,0,23326,0.00281225887345679,0.9921855867861844,"0,0,2160,3840",
0086.jpg,0086.jpg,colmap_tracks,1,ok,11482,10472,237559,0,37470,0.004517505787037037,0.9867570827694697,"0,0,2160,3840",
0087.jpg,0087.jpg,colmap_tracks,1,ok,11238,9994,281675,0,37717,0.004547284915123457,0.9865833048460817,"0,0,2160,3818",
0088.jpg,0088.jpg,colmap_tracks,1,ok,12407,11189,277675,0,39868,0.0048066165123456794,0.9856723772792108,"0,0,2160,3782",
0089.jpg,0089.jpg,colmap_tracks,1,ok,10955,9821,260323,0,31535,0.0038019627700617282,0.9886947459517439,"0,0,2160,3744",
0090.jpg,0090.jpg,colmap_tracks,1,ok,11206,10000,271553,0,44280,0.005338541666666667,0.9841778597232197,"0,0,2160,3840",
0091.jpg,0091.jpg,colmap_tracks,1,ok,10599,9335,283426,0,35818,0.0043183352623456794,0.9872132869292289,"0,0,2160,3840",
0092.jpg,0092.jpg,colmap_tracks,1,ok,8178,6978,267392,0,30202,0.0036412519290123456,0.9894768493822239,"0,0,2158,3840",
0093.jpg,0093.jpg,colmap_tracks,1,ok,10098,9040,238731,0,38855,0.004684485918209877,0.9864317371985859,"0,0,2160,3821",
0094.jpg,0094.jpg,colmap_tracks,1,ok,9074,8459,152596,0,31714,0.003823543595679012,0.9886215026117731,"0,0,2147,3830",
0095.jpg,0095.jpg,colmap_tracks,1,ok,4809,4212,146363,0,13473,0.0016243489583333333,0.9948278483111905,"0,0,2159,3788",
0096.jpg,0096.jpg,colmap_tracks,1,ok,7647,7016,155121,0,23761,0.0028647038966049384,0.9905042601147753,"0,0,2135,3779",
0097.jpg,0097.jpg,colmap_tracks,1,ok,9246,8449,189647,0,33211,0.0040040268132716045,0.9865091686957144,"0,0,2141,3840",
0098.jpg,0098.jpg,colmap_tracks,1,ok,8841,8086,180715,0,28036,0.0033801118827160494,0.9884909546276124,"0,0,2138,3708",
0099.jpg,0099.jpg,colmap_tracks,1,ok,8610,7974,154025,0,26370,0.003179253472222222,0.9890302846510095,"0,74,2142,3840",
0100.jpg,0100.jpg,colmap_tracks,1,ok,6779,6114,157031,0,20245,0.0024408034336419753,0.9916492253929545,"0,41,2146,3695",
0101.jpg,0101.jpg,colmap_tracks,1,ok,4608,4253,90575,0,10007,0.0012064766589506173,0.9959829345973421,"0,0,2129,3786",
0102.jpg,0102.jpg,colmap_tracks,1,ok,5780,5474,78597,0,12520,0.001509452160493827,0.9950463063527164,"0,0,2088,3741",
0103.jpg,0103.jpg,colmap_tracks,1,ok,7234,6795,111061,0,16624,0.002004243827160494,0.9932625790656043,"0,0,2097,3723",
